ID,Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Primary Genre,Genres,Original Release Date,Current Version Release Date
320166918,Tic-Tac-Toe Arena,1.5,8.0,1.99,,RookSoft Ltd.,4+,Games,"Games, Entertainment, Strategy, Board",24/06/2009,13/09/2016
333277750,Trump It,1.5,18.0,0.0,,Added Entertainment Ltd,4+,Entertainment,"Entertainment, Card, Games, Strategy",19/11/2009,28/11/2018
355022891,Laser Chess,1.5,200.0,0.0,,Modular Dreams Inc,4+,Games,"Games, Board, Strategy, Entertainment",1/04/2010,6/04/2010
368167255,RuneRun,1.5,7.0,0.99,,Redikod,9+,Games,"Games, Puzzle, Strategy",25/04/2010,18/10/2016
376533255,Nuclear Defence HD,1.5,46.0,0.99,,Gianluca Natalini,4+,Games,"Games, Action, Strategy",18/06/2010,27/01/2017
383244367,Fanoron,1.5,56.0,0.0,,CapeApps,4+,Games,"Games, Board, Entertainment, Strategy",21/08/2010,21/08/2010
391545915,"Hammurabi, The Game",1.5,7.0,0.99,,Alessandro Benedettini,4+,Games,"Games, Role Playing, Entertainment, Strategy",18/09/2010,9/10/2017
403016297,Chess..,1.5,56.0,0.0,"2.99, 0.99, 1.99",baKno Games,4+,Games,"Games, Entertainment, Board, Strategy",14/11/2010,1/09/2017
412502748,Easy Chess,1.0,15.0,0.0,,willie shi,4+,Games,"Games, Entertainment, Board, Strategy",5/01/2011,14/02/2013
412502748,Easy Chess,1.0,15.0,0.0,,willie shi,4+,Games,"Games, Entertainment, Board, Strategy",5/01/2011,14/02/2013
413107891,SOS Puzzle Free!,1.5,10.0,0.0,,SpinPin,4+,Games,"Games, Entertainment, Puzzle, Strategy",6/01/2011,7/11/2014
479857475,Stone Solitaire Lite,1.5,7.0,0.0,,CDN Software Solutions Pvt. Ltd.,4+,Games,"Games, Strategy",17/11/2011,28/07/2012
522091903,Jocly Tafl Free,1.5,6.0,0.0,,ACLAP,4+,Games,"Games, Board, Strategy",1/05/2012,1/05/2012
601301449,NORTH & SOUTH - The Game (Pocket Edition),1.0,7.0,1.99,,HandyGames,9+,Games,"Games, Casual, Strategy",30/04/2013,20/06/2013
622333617,Waste Land : savage survival of fear world games,1.5,32.0,2.99,,Palmacapp,12+,Games,"Games, Entertainment, Adventure, Strategy",27/03/2013,11/09/2016
633006816,Haunted Island : Mystic of Anarchy Wild Escape 3D,1.0,14.0,2.99,,Palmacapp,12+,Games,"Games, Strategy, Adventure, Entertainment",23/04/2013,29/09/2016
723063169,Monument Builders - Statue of Liberty (Free),1.5,37.0,0.0,2.99,Blastworks Limited,4+,Games,"Games, Adventure, Strategy",5/12/2013,8/03/2014
815045183,Cultures Northland,1.5,12.0,4.99,,Runesoft,9+,Games,"Games, Strategy, Entertainment, Simulation",26/02/2014,19/10/2015
878653232,Impossible Jelly Cube Match,1.5,7.0,0.0,2.99,"NetSummit Enterprises, Inc.",4+,Games,"Games, Strategy, Puzzle",1/06/2014,2/02/2016
879020222,Military Combat Plane Survival Blast - Fun War Escape Challenge,1.5,6.0,0.0,2.99,"wetappscom, LLC",4+,Games,"Games, Action, Strategy",24/05/2014,24/05/2014
882256548,3D Hockey Puck Flick Rage Game for Free,1.5,7.0,0.0,"9.99, 4.99, 29.99, 19.99",jef nielsen,4+,Games,"Games, Sports, Strategy, Entertainment",13/06/2014,13/06/2014
884768672,Design CAD - create and edit DWG/DXF/CTM drawing files,1.0,7.0,9.99,7.99,li xiaolong,4+,Productivity,"Productivity, Strategy, Role Playing, Games",8/06/2014,20/10/2015
888094589,3D Galaxy Infinite Colony Planet Tactical Flick Game for Free,1.5,5.0,0.0,"9.99, 4.99",Jef Nielsen,4+,Games,"Games, Simulation, Strategy, Entertainment",22/06/2014,5/08/2014
907337173,Crazy Jumpy Hedgehog Dash - Tunnel Escape Adventure,1.5,5.0,0.0,2.99,Renato Erive,4+,Games,"Games, Entertainment, Action, Strategy",30/08/2014,30/08/2014
913064563,Pixel Heroes,1.5,7.0,0.0,,Huan Tang,12+,Games,"Games, Role Playing, Strategy",6/09/2014,6/09/2014
930114902,PDF Scanner - Scan multipage documents to PDF,1.5,11.0,4.99,,feng jing,4+,Utilities,"Utilities, Role Playing, Strategy, Games",28/10/2014,2/07/2016
943278631,Chinese Checkers Touch,1.5,71.0,0.0,,Kevin White,4+,Games,"Games, Entertainment, Board, Strategy",26/11/2014,18/12/2018
950645532,Flying Penguin Saga FREE - Crazy Wings Launch Mania,1.5,5.0,0.0,2.99,Terry Walker,4+,Games,"Games, Strategy, Simulation",17/01/2015,17/01/2015
969107262,Venture for iPad,1.0,5.0,2.99,,"Sandy Knoll Software, LLC",4+,Games,"Games, Board, Entertainment, Strategy",9/03/2015,25/10/2017
973047734,Take Off Master - Backyard Plane Simulator,1.5,5.0,0.0,,Henk van der Zee,4+,Games,"Games, Family, Entertainment, Strategy",13/03/2015,13/03/2015
975549557,Mine Fragger Survival: Mini Adventure Rush,1.5,6.0,0.0,2.99,"Netsummit Marketing, Inc.",4+,Games,"Games, Role Playing, Strategy",28/03/2015,28/03/2015
976945271,Hnefatafl 2 Player Board Game,1.5,6.0,1.99,,Nicholas Gressle,4+,Games,"Games, Board, Entertainment, Strategy",24/03/2015,24/03/2015
993863316,Escape Mystery Haunted House -Scary Point & Click Adventure Game,1.0,7.0,1.99,,One Connection Media,12+,Games,"Games, Strategy, Entertainment, Simulation",18/07/2015,12/08/2015
1001461352,Earthbound! Can you make it? A game that is nearly impossible! Inchy Tribute!,1.5,8.0,0.0,,"bYOU PUBLISHING, LLC",4+,Games,"Games, Strategy, Puzzle, Entertainment",26/06/2015,26/06/2015
1003646475,Fingerprint Reader - In The Mood For A Finger Scan?,1.5,10.0,0.0,2.99,Menno Spijkstra,4+,Games,"Games, Strategy, Family, Entertainment",28/06/2015,28/06/2015
1015151892,Nuts! The Battle of the Bulge,1.0,11.0,4.99,,HexWar Games Ltd,12+,Games,"Games, Board, Strategy, Entertainment",5/11/2015,12/12/2016
1053530387,IWO: Bloodbath in the Bonins,1.5,15.0,4.99,,HexWar Games Ltd,12+,Games,"Games, Strategy, Board, Entertainment",24/12/2015,24/02/2016
1055963776,Go Classic Chinese Game,1.5,39.0,0.0,"19.99, 10.99, 9.99, 5.99","Strategy Empire, LLC",4+,Games,"Games, Board, Strategy, Entertainment",11/11/2015,16/07/2019
1058245379,Defend Farm TD,1.5,8.0,0.0,"49.99, 25.99, 14.99, 2.99",Yangfei Zhang,4+,Games,"Games, Strategy, Puzzle",25/11/2015,25/11/2015
1058245379,Defend Farm TD,1.5,8.0,0.0,"49.99, 25.99, 14.99, 2.99",Yangfei Zhang,4+,Games,"Games, Strategy, Puzzle",25/11/2015,25/11/2015
1062521052,Backgammon Skills,1.0,6.0,2.99,9.99,Tony Walsh,17+,Reference,"Reference, Games, Strategy",4/12/2015,26/06/2017
1063632101,Hedgehog Learn To Fly,1.5,11.0,0.0,,Nancy Nancy,4+,Games,"Games, Trivia, Strategy",8/12/2015,8/12/2015
1077047022,Gun Mole Tactical RPG - Multiplayer Turn Based Shooting Games with Killing Strategy,1.5,6.0,0.0,,Jian Yih Lee,4+,Games,"Games, Role Playing, Strategy",18/02/2016,18/02/2016
1085441589,Feudalism War 2,1.5,35.0,0.0,,Seung Joon Lee,12+,Games,"Games, Role Playing, Strategy",22/02/2016,22/02/2016
1093367483,From Spore to Man,1.5,17.0,0.0,,Vladislav Myakishev,4+,Games,"Games, Entertainment, Simulation, Strategy",24/03/2016,24/03/2016
1117351386,Sushi Go Round - Simulation Game,1.5,9.0,0.99,,Kong Nai,4+,Games,"Games, Role Playing, Strategy, Entertainment",31/05/2016,31/05/2016
1119479939,Bounce Bullet:Kill Shot Bravo - A Free Shooting Skill Game,1.0,6.0,0.0,,Jing Liu,12+,Games,"Games, Strategy, Entertainment, Action",4/06/2016,4/06/2016
1121916547,Money Swiper: Get Rich Tycoon,1.5,6.0,0.0,,Adam Irvine,4+,Games,"Games, Strategy, Puzzle, Entertainment",15/06/2016,15/06/2016
1124045858,Match Of Soccer Game,1.5,359.0,0.0,"1.99, 1.99, 7.99, 5.99, 3.99, 9.99",Aijaz Ali,4+,Games,"Games, Strategy, Sports, Sports",25/06/2016,29/04/2018
1132173049,Pro Builds for LoL,1.0,6.0,0.0,,\xc1lvaro Girona,4+,Games,"Games, Strategy, Utilities, Role Playing",2/08/2016,6/06/2018
1143368213,Tower Defence - Free tower defense games!,1.5,5.0,0.0,,Juan Ma,4+,Games,"Games, Strategy, Entertainment, Puzzle",7/09/2016,7/09/2016
1152094575,Word Ache for iMessage,1.5,6.0,0.0,0.99,Appgrammers LLC,4+,Games,"Games, Word, Social Networking, Strategy",17/09/2016,29/09/2016
1166700811,Farm Find The Hidden Objects Old Memory,1.5,5.0,0.0,,Vikash Patel,4+,Games,"Games, Puzzle, Strategy, Entertainment",6/11/2016,6/11/2016
1168409530,Coloring Book -  for Adults and Girls Paint Sketch,1.5,6.0,4.99,,de jesus jams,4+,Lifestyle,"Lifestyle, Games, Strategy, Puzzle",24/10/2016,2/05/2017
1180473093,Space Shuttle: Cosmic Agency,1.5,23.0,0.0,,Tayga Games OOO,9+,Games,"Games, Strategy, Casual",2/12/2016,2/12/2016
1199797479,"""Mods for Don't Starve and Don't Starve Together""",1.5,12.0,2.99,0,Chi Kau Wan,9+,Reference,"Reference, Adventure, Games, Strategy",29/01/2017,29/01/2017
1205436748,Harbor Master: Caribbean Merchant,1.0,8.0,0.99,,Evgeni Petkov,4+,Games,"Games, Action, Strategy",25/03/2017,25/03/2017
1238688807,Germany Simulator 2,1.5,5.0,0.0,"0.99, 0.99, 0.99, 2.99, 0.99",SHPIRNA SERHII,12+,Games,"Games, Simulation, Strategy",15/06/2017,15/06/2017
1249992338,SEA BATTLE ONLINE 2,1.5,5.0,0.0,4.99,Valentin Tsimbalyuk,4+,Games,"Games, Entertainment, Board, Strategy",20/06/2017,22/06/2019
1256059154,Stockade,1.5,5.0,0.0,0.99,Adknown,9+,Games,"Games, Strategy, Entertainment, Action",7/07/2017,18/07/2019
1258100671,Lightning: D-Day,1.0,6.0,4.99,,HexWar Games Ltd,9+,Games,"Games, Strategy, Entertainment, Board",13/07/2017,19/07/2017
1268615157,Chess 2 player - Chess Puzzle,1.5,10.0,0.0,,Somkiat Sahachepsuk,4+,Games,"Games, Board, Strategy, Education",8/08/2017,12/06/2018
1276986522,Castle Wall Defense,1.5,7.0,0.0,1.99,Ashfaq Ahmad,12+,Games,"Games, Simulation, Entertainment, Strategy",6/10/2017,6/10/2017
1282794118,Axis & Allies 1942 - AA Tool,1.5,8.0,0.99,7.99,Pavel Braun,4+,Productivity,"Productivity, Board, Strategy, Games",16/09/2017,16/09/2017
1296758026,Tales of Inca: Lost Land,1.5,10.0,2.99,,Runesoft,4+,Games,"Games, Simulation, Strategy",4/12/2017,14/03/2018
1316937847,Parking Escape,1.5,1047.0,0.0,"9.99, 4.99, 19.99, 99.99",AppLife Ltd,4+,Games,"Games, Strategy, Puzzle, Entertainment",28/11/2017,24/07/2019
1341641601,Sim Town:Rich Man,1.5,7.0,0.0,"0.99, 4.99, 0.99, 9.99, 19.99","W.Y.D Technology CO.,LTD.",4+,Games,"Games, Strategy, Simulation",29/04/2018,29/04/2018
1343473708,Lords.io Warfare,1.5,94.0,0.0,,zakaria fathy,4+,Games,"Games, Books, Strategy, Action",3/02/2018,3/02/2018
1347703221,Difly.io,1.5,109.0,0.0,,zakaria fathy,4+,Games,"Games, Action, Entertainment, Strategy",12/02/2018,12/02/2018
1400592819,Eruption Of Volcano,1.5,6.0,0.0,,jinqiu Zou,4+,Games,"Games, Strategy, Action",24/07/2018,24/07/2018
1424501580,Idle Towers,1.5,5.0,0.0,,Delidron Games,9+,Games,"Games, Strategy, Casual",4/10/2018,26/06/2019
1435470934,Quiz for Fortnite Pros,1.5,12.0,0.0,,Dean Martin,4+,Games,"Games, Trivia, Strategy, Utilities",4/10/2018,12/10/2018
1442189626,Red Empire2 - War Alert,1.5,6.0,0.0,"3.99, 10.99, 99.99, 0.99, 4.99, 14.99, 29.99, 0.99, 49.99, 4.99",jiang zhang,12+,Games,"Games, Sports, Strategy, Simulation",8/12/2018,8/12/2018
1457836153,Picnic Auto Chess Strategy PvP,1.0,10.0,0.0,,Texas PFCG Aplicativos Ltda,4+,Games,"Games, Strategy, Board",19/04/2019,30/04/2019
