ID	Name	Average User Rating
284921427	Sudoku	4.0
284926400	Reversi	3.5
284946595	Morocco	3.0
285755462	Sudoku (Free)	3.5
285831220	Senet Deluxe	3.5
286210009	Sudoku - Classic number puzzle	3.0
286313771	Gravitation	2.5
286363959	Colony	2.5
286566987	Carte	2.5
286682679	"""Barrels O' Fun"""	2.5
287563734	Quaddraxx	
288096268	Lumen Lite	3.5
288669794	BubblePop	3.0
288689440	Marple	3.5
288918962	Tetravex Lite	2.5
289217958	Awele/Oware - Mancala HD	3.0
289217958	Awele/Oware - Mancala HD	3.0
289382458	Chess Game	3.0
290493286	Catcha Mouse	3.5
290614255	Cool Sudoku, Jigsaw, Killer	3.5
291074572	Mind the Corners	3.0
291723451	All You Can Eat	2.0
291894818	Ane Rouge	
291929815	Neiscat	
292242592	Boomshine	4.0
292274288	Gaia Lite	3.5
292421271	Fieldrunners	4.0
292538570	Lux Touch 3 - World Domination	3.5
292975610	"""Don't Square"""	2.5
294166538	Smart Rummy	2.5
294193726	Expert Sudoku	4.0
294596096	Edgewise	3.5
294631172	Chess Genius	4.0
295445501	Chess - tChess Pro	4.0
295462558	Toobz	3.5
296183853	Color Sudoku	3.5
296756437	Chess - tChess Lite	3.5
296853351	Checkers Online Lite	2.5
297558390	TapDefense	3.5
297643414	Chinese Chess (Xiangqi)	3.0
298748403	Warfare Incorporated	3.5
298908505	Strategery	4.0
299139129	5x5 Shogi (MiniShogi) K55	4.0
299471086	Deep Green Chess	4.0
299631906	Jewel Lines	3.0
299813413	Lux DLX 3 - Map Conquest Game	4.0
299878026	ChartFight SP	3.0
300025550	Robo Logic	3.5
300893278	RoboLogic Lite	3.0
301163765	Kakinoki Shogi (Japanese Chess)	4.0
301418753	Kings Corners Free	2.5
301733979	Flip Ninja	2.5
301746785	Gun Runner Wars	3.0
302312895	Word Zapper	3.0
302331458	Antivirus	3.0
302510211	Arcs	4.0
302532668	Shogi Kifu	
302532668	Shogi Kifu	
303188552	Strategery Lite	3.5
303337299	Wedding Dash Deluxe	4.5
303401746	Agency Wars Lite	2.5
303475501	Touch Physics Lite	3.5
303477061	FIREWALL: Defender FREE	2.5
303830590	PocketSports Football Lite	2.5
303954672	BallSnare	3.5
304657926	Wordology	3.5
304878580	Omar Sharif Bridge	2.5
304932775	PahJong Hurricane	3.0
305123066	Wedding Dash	4.0
305260337	PahJong Tsunami	
305324342	Slay	3.0
305462255	Paintball II	2.0
305464559	Psarakia (Ice Fishing)	3.5
305620716	Shogi Demon	3.5
305929056	Tiki Towers LITE	3.5
306165224	Gun Runner +	2.5
307013525	Polycubes	3.5
307083604	Port Defender\xae - 2D Field Defense	3.5
307132353	"""Sally's Spa"""	4.5
307219373	Port Defender\xae Lite - 2D Field Defense	3.0
307538288	"""Tap 'n' Pop Classic: Balloon Group Remove"""	3.5
307662507	Conquest (+ all maps)	3.5
308032437	Shredder Chess	4.5
308608974	Wordology Lite	3.0
308834118	Gomoku Free (\u4e94\u5b50\u68cb, \u4e94\u76ee\u4e26\u3079, \uc624\ubaa9)	2.5
309225116	"""Tap 'n' Pop Classic (Lite): Balloon Group Remove"""	3.0
309399343	Tournament Reversi Free	3.5
310251116	Bloons	4.0
311395856	Chess \u2219	3.5
311395924	Chess Premium	4.0
311456818	UniWar: Multiplayer Strategy	3.5
311466554	Pocket Tanks Deluxe	4.5
311468972	Castle Smasher	3.0
311544087	Pocket Tanks	4.0
312093430	Inverti	3.0
313149078	Crystal Mine	2.0
313324870	Nerve	2.5
313365393	Pebbles	3.0
313478124	AirTycoon - Airline Management	3.5
313734044	Jungle Crash Land	3.5
313835253	PortOfCallL	2.5
314162908	"""Swap 'n Drop"""	3.0
314464100	Boxed In	3.5
314506629	SmartGo Player	4.0
314907526	Big 2 Classic	3.5
315733642	"""Sally's Spa Lite"""	4.0
316491616	TowerMadness	4.0
316540851	Chinese Chess Master	3.5
317154247	Block Off	3.0
317677424	UAV Fighter Free	3.0
318083567	WORP - Next Gen Solitaire Puzzle	3.0
318267805	Bubble Buster	3.5
318280645	Age of Conquest: Europe	3.5
318465515	Backgammon!	2.0
318639200	Crush the Castle	3.5
318974349	PopGroup	3.0
318975161	PopGroup Lite	3.0
319009472	TapSquares	3.0
319305999	Chess	4.5
319519142	TOTL	2.5
320166918	Tic-Tac-Toe Arena	1.5
320469536	4_IN_1_ROW_Lite	2.5
320667784	Tournament Checkers Free	3.0
321026028	Checkers	4.5
321026028	Checkers	4.5
321219952	Pipe Mania	3.0
321369231	WORMS	4.0
321756558	Pixel Starships\u2122	4.5
322110989	PUSHY	4.0
322423174	Traffic Rush	3.5
322829337	Traffic Control!	3.0
323122770	Sudoku Infinite	3.5
323242790	Cartoon Wars	3.5
